Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,263,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,5,304,734,Medium,false,
Processed,264,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,3,306,152059,Low,false,
Processed,265,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,4,303,202,Low,false,
Processed,266,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,4,335,612,Low,false,
Processed,267,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,9,313,230777,Low,false,
Processed,268,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,13,314,1418005,High,false,
Out of Scope,269,Wed Oct 29 00:13:52 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,270,Wed Oct 29 00:13:52 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,271,Wed Oct 29 00:13:52 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,272,Wed Oct 29 00:13:52 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,273,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,3,304,665,Low,false,
Processed,274,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169,Low,false,JSON
Processed,275,Wed Oct 29 00:13:52 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,18,156,16054,Low,false,
Processed,276,Wed Oct 29 00:13:54 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,6,304,734,Medium,false,
Processed,277,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,3,306,152059,Low,false,"Password, Upload, Comment"
Processed,278,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,5,303,202,Low,false,
Processed,279,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,3,335,612,Low,false,
Processed,280,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,6,313,230777,Low,false,
Processed,281,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,209,314,1418005,High,false,
Out of Scope,282,Wed Oct 29 00:13:55 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,283,Wed Oct 29 00:13:55 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,284,Wed Oct 29 00:13:55 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,285,Wed Oct 29 00:13:55 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,286,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,2,304,665,Low,false,
Processed,287,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169,Low,false,
Processed,288,Wed Oct 29 00:13:55 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,5,156,16054,Low,false,
Processed,289,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,8,156,16054,Low,false,
Processed,290,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,3,304,734,Medium,false,
Processed,291,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/favicon.ico,404,,5,243,100,,false,
Processed,292,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,9,303,202,Low,false,
Processed,293,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,11,335,612,Low,false,
Processed,294,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,21,306,152059,Low,false,
Processed,295,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,22,313,230777,Low,false,
Processed,296,Wed Oct 29 00:13:56 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,25,314,1418005,High,false,
Out of Scope,297,Wed Oct 29 00:13:57 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,298,Wed Oct 29 00:13:57 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,299,Wed Oct 29 00:13:57 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,300,Wed Oct 29 00:13:57 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Processed,301,Wed Oct 29 00:13:57 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/favicon-16x16.png,200,,4,304,665,Low,false,
Processed,302,Wed Oct 29 00:13:57 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs/swagger-config,200,,3,154,169,Low,false,
Processed,303,Wed Oct 29 00:13:57 UTC 2025,GET,http://host.docker.internal:8081/v3/api-docs,200,,5,156,16054,Low,false,
Processed,304,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html,200,,5,304,734,Medium,false,
Processed,305,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css,200,,8,306,152059,Low,false,
Processed,306,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-initializer.js,200,,6,335,612,Low,false,
Processed,307,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css,200,,10,303,202,Low,false,
Processed,308,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-standalone-preset.js,200,,12,313,230777,Low,false,
Processed,309,Wed Oct 29 00:13:58 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui-bundle.js,200,,29,314,1418005,High,false,
Out of Scope,310,Wed Oct 29 00:13:58 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,311,Wed Oct 29 00:13:58 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
Out of Scope,312,Wed Oct 29 00:13:58 UTC 2025,GET,https://firefox-settings-attachments.cdn.mozilla.net/main-workspace/tracking-protection-lists/407dd263-f3ef-4881-8cf2-6f257a1e5593,403,Forbidden,0,130,40,,false,
