ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
451,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/6126495482532463328,404,,53,195,119
453,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,7,194,99
454,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,5,194,99
455,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,3,194,99
456,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/web.xml,404,,2,106,104
457,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,2,194,99
458,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/applicationContext.xml,404,,2,106,119
459,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui,404,,2,194,99
460,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/classes/11/839.class,404,,4,150,117
461,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.html?-s,200,,4,256,734
462,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/index.css?-s,200,,5,255,202
463,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/classes/web/xml.class,404,,4,150,118
464,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/classes/11/842.class,404,,3,150,117
465,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/WEB-INF/classes/applicationContext/xml.class,404,,3,150,133
466,Wed Oct 29 00:15:11 UTC 2025,Wed Oct 29 00:15:11 UTC 2025,GET,http://host.docker.internal:8081/swagger-ui/swagger-ui.css?-s,200,,7,258,152059
